Idade,Genero,Etnia,Nivel_Educacao,Cargo_Atual,Senioridade,Faixa_Salarial,Tamanho_Empresa,Industria,Modelo_Trabalho_Atual,Modelo_Trabalho_Preferido,Anos_Experiencia_Dados,Satisfacao_Empresa_Atual,uf_residencia,Insatisfacao_Falta_Crescimento,Insatisfacao_Salario,Insatisfacao_Relacao_Lider,Insatisfacao_Outra_Area,Insatisfacao_Beneficios,Insatisfacao_Clima_Trabalho,Insatisfacao_Falta_Maturidade_Analitica,Criterio_Remuneracao,Criterio_Beneficios,Criterio_Proposito,Criterio_Flexibilidade_Remoto,Criterio_Ambiente_Clima,Criterio_Aprendizado_Referencias,Criterio_Plano_Carreira_Crescimento,Criterio_Maturidade_Tecnologia_Dados,Criterio_Qualidade_Gestores,Criterio_Reputacao_Mercado,Total_Tecnicos_Estado,Total_Docentes_Estado,Total_IES_no_Estado
27,Masculino,Preta,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Acima de 3.000,Área de Consultoria,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,0.0,SP,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71234.0,74822.0,586.0
23,Masculino,Branca,Graduação/Bacharelado,Outra Opção,Júnior,de R$ 6.001/mês a R$ 8.000/mês,Acima de 3.000,Setor Automotivo,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,71234.0,74822.0,586.0
35,Masculino,Branca,Graduação/Bacharelado,Desconhecido,Desconhecido,Acima de R$ 40.001/mês,de 101 a 500,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo 100% remoto,Mais de 10 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,71234.0,74822.0,586.0
33,Masculino,Parda,Mestrado,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,Desconhecido,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
37,Feminino,Branca,Mestrado,Analytics Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 101 a 500,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,0.0,PR,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,26170.0,28745.0,174.0
31,Masculino,Branca,Graduação/Bacharelado,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 51 a 100,Finanças ou Bancos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Menos de 1 ano,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,71234.0,74822.0,586.0
24,Masculino,Parda,Graduação/Bacharelado,Analista de Inteligência de Mercado/Market Intelligence,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 501 a 1.000,Telecomunicação,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Menos de 1 ano,1.0,PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5360.0,6197.0,48.0
27,Masculino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 8.001/mês a R$ 12.000/mês,Acima de 3.000,Setor Alimentício,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35747.0,31788.0,128.0
23,Masculino,Branca,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 51 a 100,Entretenimento ou Esportes,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Menos de 1 ano,1.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35747.0,31788.0,128.0
30,Masculino,Parda,Pós-graduação,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de R$ 12.001/mês a R$ 16.000/mês,Acima de 3.000,Área da Saúde,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto,Menos de 1 ano,0.0,PR,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,26170.0,28745.0,174.0
